Player,POS_prefix,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,TOT_TDS,FPTS,FPTS_BIN,RECEIVING_REC_BIN,TOT_TDS_BIN
Tyreek Hill MIA,WR,7.3,41.0,0.1,92.7,1171.4,7.7,7.8,259.9,250-274,90-99,5-9
Jonathan Taylor IND,RB,310.7,1413.1,10.7,28.5,204.2,1.3,12.0,258.9,250-274,20-29,10-14
A.J. Brown PHI,WR,0.0,0.0,0.0,84.9,1243.0,8.4,8.4,257.6,250-274,80-89,5-9
Bucky Irving TB,RB,245.1,1161.9,8.5,45.3,352.7,1.7,10.2,255.2,250-274,40-49,10-14
Kyren Williams LAR,RB,291.7,1249.3,11.6,33.5,212.9,1.7,13.299999999999999,254.8,250-274,30-39,10-14
Ladd McConkey LAC,WR,0.0,1.4,0.0,90.1,1206.0,7.5,7.5,254.7,250-274,90-99,5-9
Brock Bowers LV,TE,0.0,8.0,0.0,105.1,1115.4,6.1,6.1,253.1,250-274,100-109,5-9
Tee Higgins CIN,WR,0.0,0.0,0.0,86.2,1096.1,8.9,8.9,247.6,225-249,80-89,5-9
Mike Evans TB,WR,0.0,0.0,0.0,79.8,1073.5,10.0,10.0,246.0,225-249,70-79,5-9
Jaxon Smith-Njigba SEA,WR,2.7,20.9,0.0,93.1,1110.7,6.6,6.6,244.8,225-249,90-99,5-9
